go
GO!
vlineal vlinealLeft vlinealRight vEncoderLeft vEncoderRight pwmLeft pwmRight posLeft posRight
parar en radianes: 
2.99
parar en 0.39663145
0.29444
2.20833
vlineal vlinealLeft vlinealRight vEncoderLeft vEncoderRight pwmLeft pwmRight posLeft posRight
0.21000 0.30917 0.11083 0.24230 0.12518 202 103 133 59
0.21000 0.30917 0.11083 0.27046 0.13213 202 101 140 63
0.21000 0.30917 0.11083 0.24994 0.10988 202 98 148 67
0.21000 0.30917 0.11083 0.25294 0.14000 202 94 155 71
0.21000 0.30917 0.11083 0.28247 0.14195 202 90 163 75
0.21000 0.30917 0.11083 0.28362 0.14159 202 83 172 79
0.21000 0.30917 0.11083 0.28291 0.11335 202 83 179 83
0.21000 0.30917 0.11083 0.28337 0.14011 202 75 188 87
0.21000 0.30917 0.11083 0.28401 0.13886 202 72 196 91
0.21000 0.30917 0.11083 0.28540 0.13807 202 69 204 94
0.21000 0.30917 0.11083 0.28641 0.11036 202 66 213 98
0.21000 0.30917 0.11083 0.28903 0.10941 202 66 221 101
0.21000 0.30917 0.11083 0.29030 0.13267 202 64 230 105
0.21000 0.30917 0.11083 0.29153 0.13055 202 62 238 109
0.21000 0.30917 0.11083 0.29108 0.10543 202 60 248 112
0.21000 0.30917 0.11083 0.29102 0.10532 202 61 256 115
0.21000 0.30917 0.11083 0.29321 0.10501 202 61 263 119
0.21000 0.30917 0.11083 0.27201 0.10421 202 60 273 122
0.21000 0.30917 0.11083 0.29489 0.10365 202 61 281 125
0.21000 0.30917 0.11083 0.29468 0.12478 202 61 290 129
0.21000 0.30917 0.11083 0.27274 0.10142 202 62 298 132
0.21000 0.30917 0.11083 0.29590 0.10099 202 64 308 135
0.21000 0.30917 0.11083 0.29667 0.12252 202 63 315 138
0.21000 0.30917 0.11083 0.27450 0.10125 202 64 324 142
0.21000 0.30917 0.11083 0.29740 0.10135 202 66 333 145
0.21000 0.30917 0.11083 0.27551 0.10086 202 67 341 147
0.21000 0.30917 0.11083 0.29786 0.12252 202 67 350 151
0.21000 0.30917 0.11083 0.27583 0.10110 202 68 359 154
0.21000 0.30917 0.11083 0.29796 0.10160 202 68 367 157
0.21000 0.30917 0.11083 0.27394 0.10194 202 69 376 160
0.21000 0.30917 0.11083 0.29568 0.10227 202 70 386 164
0.21000 0.30917 0.11083 0.29540 0.12456 200 69 394 167
0.21000 0.30917 0.11083 0.29717 0.10270 202 70 403 170
0.21000 0.30917 0.11083 0.29801 0.10294 200 72 412 173
0.21000 0.30917 0.11083 0.29839 0.12470 201 70 421 177
0.21000 0.30917 0.11083 0.29820 0.10306 200 72 431 180
0.21000 0.30917 0.11083 0.29768 0.10257 201 73 439 183
0.21000 0.30917 0.11083 0.29781 0.12545 202 72 448 187
0.21000 0.30917 0.11083 0.27593 0.10289 202 73 457 190
0.21000 0.30917 0.11083 0.29820 0.12591 202 72 464 193
0.21000 0.30917 0.11083 0.27539 0.10362 202 73 474 196
0.21000 0.30917 0.11083 0.29699 0.12709 202 71 483 200
0.21000 0.30917 0.11083 0.32080 0.10438 202 73 492 203
0.21000 0.30917 0.11083 0.29787 0.12819 202 71 501 207
0.21000 0.30917 0.11083 0.32277 0.10488 201 72 511 210
0.21000 0.30917 0.11083 0.29914 0.12806 202 70 518 213
0.21000 0.30917 0.11083 0.27583 0.10499 202 71 527 217
0.21000 0.30917 0.11083 0.29746 0.10552 202 69 536 220
0.21000 0.30917 0.11083 0.27625 0.10491 202 70 544 223
0.21000 0.30917 0.11083 0.29878 0.12729 200 69 554 227
0.21000 0.30917 0.11083 0.29880 0.10413 201 70 563 230
0.21000 0.30917 0.11083 0.29869 0.12691 202 69 572 234
0.21000 0.30917 0.11083 0.29763 0.10434 202 69 580 237
0.21000 0.30917 0.11083 0.29770 0.12718 202 67 589 241
0.21000 0.30917 0.11083 0.27628 0.10417 202 69 598 244
0.21000 0.30917 0.11083 0.32319 0.12663 200 67 606 247
0.21000 0.30917 0.11083 0.29944 0.10438 202 69 615 251
0.21000 0.30917 0.11083 0.27561 0.12678 202 67 624 254
0.21000 0.30917 0.11083 0.29786 0.10439 202 68 633 257
0.21000 0.30917 0.11083 0.27690 0.12646 202 66 641 261
0.21000 0.30917 0.11083 0.29947 0.10416 202 68 651 264
0.21000 0.30917 0.11083 0.32332 0.12572 201 66 660 267
0.21000 0.30917 0.11083 0.29818 0.10339 202 67 667 271
0.21000 0.30917 0.11083 0.27595 0.12400 202 67 677 274
0.21000 0.30917 0.11083 0.32232 0.10242 200 68 686 277
0.21000 0.30917 0.11083 0.29924 0.10204 202 70 695 280
0.21000 0.30917 0.11083 0.27732 0.12521 202 68 704 283
0.21000 0.30917 0.11083 0.29962 0.10316 200 70 713 287
